Rank,Land Area (sq mi),City,State,Population
629,39.70,Texanna, OK,"2,355"
630,39.69,Eldersburg, MD,"31,799"
631,39.61,Huntersville, NC,"49,279"
632,39.54,Athens, AL,"23,335"
633,39.51,La Grange, GA,"30,138"
634,39.50,Ponderosa Pines, MT,482
635,39.29,Waimea, HI,"9,642"
636,39.26,Acton, CA,"6,956"
637,39.17,Alamo, NM,707
638,39.17,Clancy, MT,"1,699"
639,39.17,Kalaoa, HI,"10,257"
640,39.08,Poway, CA,"49,040"
641,39.02,Pelham, AL,"22,106"
642,38.95,Toms River, NJ,"89,459"
643,38.85,Old Town, ME,"7,756"
644,38.84,Ruth, CA,164
645,38.83,Corona, CA,"157,395"
646,38.77,Naperville, IL,"144,108"
647,38.71,Atqasuk, AK,219
648,38.68,Chiniak, AK,14
649,38.65,Prescott Valley, AZ,"39,575"
650,38.63,Lebanon, TN,"27,847"
651,38.60,Bonita Springs, FL,"46,384"
652,38.59,West Des Moines, IA,"59,815"
653,38.52,Milton, GA,"34,874"
654,38.46,Saco, ME,"18,757"
655,38.41,Ramona, CA,"21,578"
656,38.22,Biloxi, MS,"44,527"
657,38.22,Grand Junction, CO,"59,731"
658,38.21,Bear Creek, AK,"2,399"
659,38.10,Slaughterville, OK,"4,223"
660,38.06,Hamilton, AL,"6,842"
661,37.99,Honaunau-Napoopoo, HI,"2,792"
662,37.96,Alafaya, FL,"85,561"
663,37.94,Rogers, AR,"58,944"
664,37.91,Cave Creek, AZ,"5,014"
665,37.78,Bowling Green, KY,"60,660"
666,37.77,Spokane Valley, WA,"90,829"
667,37.72,Carlsbad, CA,"109,296"
668,37.66,Congress, AZ,"1,138"
669,37.64,Sandy Springs, GA,"98,480"
670,37.64,Stamford, CT,"125,401"
671,37.63,Edinburg, TX,"79,002"
